SymInit: Symbol-SearchPath: '.;E:\Clownfish\ClownfishVoiceChanger;E:\Clownfish\ClownfishVoiceChanger;C:\WINDOWS;C:\WINDOWS\system32;SRV*C:\websymbols*http://msdl.microsoft.com/download/symbols;', symOptions: 530, UserName: 'shaik'
OS-Version: 6.2.9200 () 0x100-0x1
E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe:ClownfishVoiceChanger.exe (00007FF7B8940000), size: 843776 (result: 0), SymType: '-nosymbols-', PDB: 'E:\Clownfish\ClownfishVoiceChanger\ClownfishVoiceChanger.exe', fileVersion: 1.6.6.0
C:\Windows\System32\quartz.dll:quartz.dll (00007FFA6D5E0000), size: 1986560 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\quartz.dll', fileVersion: 6.2.22000.1
C:\Windows\System32\DDRAW.dll:DDRAW.dll (00007FFA5CC60000), size: 1036288 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\DDRAW.dll', fileVersion: 6.2.22000.1
C:\Windows\System32\dxgi.dll:dxgi.dll (00007FFA88520000), size: 995328 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\dxgi.dll', fileVersion: 6.2.22000.469
C:\Windows\System32\DCIMAN32.dll:DCIMAN32.dll (00007FFA850E0000), size: 36864 (result: 0), SymType: '-exported-', PDB: 'C:\Windows\System32\DCIMAN32.dll', fileVersion: 6.2.22000.348
C:\WINDOWS\SYSTEM32\dxcore.dll:dxcore.dll (00007FFA88660000), size: 229376 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\dxcore.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\cryptnet.dll:cryptnet.dll (00007FFA84680000), size: 200704 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\cryptnet.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\SYSTEM32\drvstore.dll:drvstore.dll (00007FFA7E800000), size: 1347584 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\drvstore.dll', fileVersion: 6.2.22000.120
C:\WINDOWS\SYSTEM32\wldp.dll:wldp.dll (00007FFA8A680000), size: 249856 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\SYSTEM32\wldp.dll', fileVersion: 6.2.22000.120
C:\WINDOWS\System32\imagehlp.dll:imagehlp.dll (00007FFA8CBE0000), size: 126976 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\System32\imagehlp.dll', fileVersion: 6.2.22000.1
C:\WINDOWS\system32\nvspcap64.dll:nvspcap64.dll (00007FFA3F510000), size: 2912256 (result: 0), SymType: '-exported-', PDB: 'C:\WINDOWS\system32\nvspcap64.dll', fileVersion: 3.25.0.84
